Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.25    395.31     1.21 82100916     0.00     0.00  std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.25    396.50     1.19 82100916     0.00     0.00  cosine_pdf::value(vec3 const&) const
  0.25    397.69     1.19                             std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.24    398.84     1.15 164201832     0.00     0.00  ray::ray(vec3 const&, vec3 const&)
  0.23    399.96     1.13 311008052     0.00     0.00  std::__shared_ptr<hittable, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<hittable, (__gnu_cxx::_Lock_policy)2> const&)
  0.23    401.06     1.10 293612439     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.23    402.16     1.10 293360506     0.00     0.00  random_double(double, double)
  0.22    403.23     1.07 239457441     0.00     0.00  vec3::operator-() const
  0.21    404.26     1.03 182804179     0.00     0.00  flip_face::hit(ray const&, double, double, hit_record&) const
  0.21    405.28     1.02 347008084     0.00     0.00  std::shared_ptr<hittable>::~shared_ptr()
  0.21    406.27     1.00 512414556     0.00     0.00  ray::time() const
  0.20    407.21     0.94                             main
  0.20    408.15     0.94 76786649     0.00     0.00  sphere::get_sphere_uv(vec3 const&, double&, double&)
  0.19    409.09     0.94 455015364     0.00     0.00  vec3::length() const
  0.19    410.02     0.93 311008052     0.00     0.00  std::shared_ptr<hittable>::shared_ptr(std::shared_ptr<hittable> const&)
  0.19    410.95     0.93                             std::_Sp_counted_ptr_inplace<hittable_pdf, std::allocator<hittable_pdf>, (__gnu_cxx::_Lock_policy)2>::~_Sp_counted_ptr_inplace()
  0.18    411.83     0.89 82100916     0.00     0.00  std::_Sp_counted_ptr_inplace<hittable_pdf, std::allocator<hittable_pdf>, (__gnu_cxx::_Lock_policy)2>::_Sp_counted_ptr_inplace<std::shared_ptr<hittable>&, vec3&>(std::allocator<hittable_pdf>, std::shared_ptr<hittable>&, vec3&)
  0.18    412.70     0.87 246302748     0.00     0.00  pdf::pdf()
  0.18    413.57     0.87 82100916     0.00     0.00  mixture_pdf::value(vec3 const&) const
  0.18    414.43     0.86 280782319     0.00     0.00  ray::at(double) const
  0.18    415.28     0.85 164201832     0.00     0.00  std::shared_ptr<pdf>::operator=(std::shared_ptr<pdf> const&)
  0.17    416.08     0.81 146806198     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<pdf*> >, std::is_move_constructible<pdf*>, std::is_move_assignable<pdf*> >::value, void>::type std::swap<pdf*>(pdf*&, pdf*&)
  0.17    416.88     0.80 229496085     0.00     0.00  std::shared_ptr<pdf>::shared_ptr()
  0.16    417.67     0.79 82100916     0.00     0.00  mixture_pdf::~mixture_pdf()
  0.16    418.46     0.79 328403664     0.00     0.00  std::allocator<hittable_pdf>::~allocator()
  0.16    419.25     0.79 164790803     0.00     0.00  scatter_record::scatter_record()
  0.16    420.03     0.78 82100916     0.00     0.00  std::_Sp_counted_ptr_inplace<hittable_pdf, std::allocator<hittable_pdf>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.16    420.79     0.76 229496085     0.00     0.00  std::__shared_ptr<pdf, (__gnu_cxx::_Lock_policy)2>::__shared_ptr()
  0.16    421.55     0.76 164201832     0.00     0.00  std::__shared_ptr<pdf, (__gnu_cxx::_Lock_policy)2>::operator=(std::__shared_ptr<pdf, (__gnu_cxx::_Lock_policy)2> const&)
  0.16    422.31     0.76 182804179     0.00     0.00  box::hit(ray const&, double, double, hit_record&) const
  0.16    423.05     0.75                             std::_Sp_counted_ptr_inplace<cosine_pdf, std::allocator<cosine_pdf>, (__gnu_cxx::_Lock_policy)2>::~_Sp_counted_ptr_inplace()
  0.16    423.80     0.75 82100916     0.00     0.00  mixture_pdf::generate() const
  0.15    424.54     0.74 82100916     0.00     0.00  std::__shared_ptr<pdf, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<pdf, (__gnu_cxx::_Lock_policy)2> const&)
  0.15    425.27     0.73 41033880     0.00     0.00  random_int(int, int)
